tid, volt
1500.422244,-0.000779
1500.929757,-0.000779
1501.435509,-0.000779
1501.940642,-0.000780
1502.446440,-0.000779
1502.950972,-0.000779
1503.457216,-0.000779
1503.964628,-0.000779
1504.470630,-0.000779
1504.977632,-0.000779
1505.484005,-0.000779
1505.989513,-0.000779
1506.495168,-0.000779
1507.002044,-0.000779
1507.506576,-0.000779
1508.011861,-0.000779
1508.517646,-0.000779
1509.022862,-0.000779
1509.527688,-0.000779
1510.033041,-0.000779
1510.538565,-0.000779
1511.043746,-0.000779
1511.550053,-0.000779
1512.055128,-0.000779
1512.562400,-0.000779
1513.067277,-0.000779
1513.573444,-0.000779
1514.080461,-0.000779
1514.585700,-0.000779
1515.091287,-0.000779
1515.596291,-0.000779
1516.102629,-0.000779
1516.608174,-0.000779
1517.113761,-0.000779
1517.620293,-0.000779
1518.126743,-0.000779
1518.632010,-0.000779
1519.138330,-0.000779
1519.644535,-0.000779
1520.150538,-0.000779
1520.655045,-0.000779
1521.160037,-0.000779
1521.665833,-0.000779
1522.170864,-0.000779
1522.678189,-0.000779
1523.183609,-0.000779
1523.688944,-0.000779
1524.194738,-0.000779
1524.699650,-0.000779
1525.207260,-0.000779
1525.712562,-0.000779
1526.219697,-0.000779
1526.725944,-0.000779
1527.233415,-0.000779
1527.740737,-0.000779
1528.246428,-0.000779
1528.752887,-0.000779
1529.258731,-0.000779
1529.765263,-0.000779
1530.271425,-0.000779
1530.776533,-0.000779
1531.280007,-0.000779
1531.784373,-0.000779
1532.289955,-0.000778
1532.796465,-0.000779
1533.303725,-0.000779
1533.811411,-0.000779
1534.317137,-0.000779
1534.824603,-0.000779
1535.329078,-0.000779
1535.834058,-0.000779
1536.339058,-0.000779
1536.844004,-0.000779
1537.348746,-0.000778
1537.856037,-0.000779
1538.362615,-0.000779
1538.869250,-0.000779
1539.374178,-0.000779
1539.879792,-0.000779
1540.384449,-0.000779
1540.889160,-0.000779
1541.394237,-0.000778
1541.898534,-0.000779
1542.404666,-0.000779
1542.911089,-0.000779
1543.417088,-0.000779
1543.923087,-0.000778
1544.428602,-0.000778
1544.934915,-0.000779
1545.441970,-0.000779
1545.948239,-0.000778
1546.453909,-0.000779
1546.960545,-0.000778
1547.465826,-0.000779
1547.969826,-0.000779
1548.477154,-0.000779
1548.982937,-0.000778
1549.488131,-0.000778
1549.994504,-0.000778
1550.498094,-0.000778
1551.004419,-0.000778
1551.510603,-0.000779
1552.016159,-0.000779
1552.523190,-0.000778
1553.029216,-0.000778
1553.535427,-0.000778
1554.041883,-0.000778
1554.546232,-0.000778
1555.051515,-0.000778
1555.557156,-0.000778
1556.062816,-0.000779
1556.569419,-0.000778
1557.075544,-0.000778
1557.581131,-0.000778
1558.088467,-0.000778
1558.594685,-0.000778
1559.101996,-0.000779
1559.608437,-0.000778
1560.114491,-0.000778
1560.620180,-0.000778
1561.125409,-0.000778
1561.630701,-0.000778
1562.138321,-0.000778
1562.645543,-0.000778
1563.150356,-0.000778
1563.656488,-0.000778
1564.164006,-0.000778
1564.671629,-0.000778
1565.177262,-0.000778
